time[ms],T[°C],hum[%],IAQ[\]
720.8600, 17.92, 41.0, 38.0
722.6140, 17.91, 41.0, 36.0
724.3700, 17.92, 41.0, 36.0
726.1210, 17.92, 41.0, 37.0
729.0760, 17.91, 41.0, 34.0
729.9760, 17.92, 41.0, 34.0
731.8400, 17.92, 41.0, 34.0
733.7450, 17.93, 41.0, 34.0
735.6340, 17.93, 41.0, 34.0
737.5510, 17.93, 41.0, 35.0
739.4590, 17.93, 41.0, 35.0
741.4090, 17.93, 41.0, 34.0
743.3280, 17.93, 41.0, 34.0
745.3100, 17.93, 41.0, 34.0
747.2290, 17.94, 41.0, 34.0
749.1800, 17.94, 41.0, 38.0
751.1130, 17.95, 41.0, 38.0
753.0630, 17.95, 41.0, 39.0
755.0130, 17.96, 41.0, 37.0
756.9310, 17.96, 41.0, 37.0
760.0840, 17.96, 41.0, 38.0
761.0300, 17.96, 41.0, 38.0
762.9640, 17.96, 41.0, 38.0
764.9140, 17.96, 41.0, 35.0
766.8350, 17.97, 41.0, 35.0
768.7690, 17.97, 41.0, 34.0
770.7050, 17.97, 41.0, 33.0
772.6210, 17.96, 41.0, 33.0
774.5440, 17.95, 41.0, 33.0
776.4800, 17.95, 41.0, 34.0
778.4000, 17.95, 41.0, 33.0
780.3040, 17.94, 41.0, 35.0
782.2530, 17.94, 41.0, 35.0
784.1740, 17.94, 41.0, 33.0
786.0770, 17.94, 41.0, 35.0
788.0450, 17.92, 41.0, 35.0
791.2070, 17.89, 41.0, 35.0
792.1690, 17.9, 41.0, 36.0
794.0600, 17.89, 41.0, 36.0
795.9810, 17.88, 41.0, 36.0
797.9440, 17.86, 42.0, 40.0
799.8800, 17.85, 42.0, 43.0
801.7970, 17.86, 42.0, 43.0
803.7050, 17.84, 42.0, 44.0
805.6240, 17.82, 43.0, 47.0
807.5420, 17.8, 43.0, 48.0
809.4660, 17.87, 43.0, 48.0
811.3850, 18.33, 47.0, 109.0
813.3020, 18.63, 51.0, 109.0
815.2400, 18.82, 59.0, 211.0
817.2060, 18.81, 66.0, 211.0
819.1520, 18.72, 69.0, 250.0
822.3050, 18.53, 71.0, 274.0
823.2800, 18.36, 67.0, 250.0
825.2150, 18.32, 65.0, 250.0
827.1620, 18.29, 61.0, 210.0
829.1150, 18.28, 58.0, 210.0
831.0340, 18.27, 56.0, 173.0
832.9550, 18.26, 53.0, 135.0
834.8720, 18.25, 51.0, 135.0
836.8100, 18.25, 49.0, 102.0
838.7290, 18.25, 48.0, 78.0
840.6770, 18.26, 47.0, 78.0
842.6420, 18.26, 46.0, 58.0
844.6260, 18.26, 45.0, 42.0
846.5720, 18.26, 44.0, 42.0
848.5550, 18.26, 44.0, 31.0
850.5170, 18.25, 44.0, 23.0
853.7440, 18.25, 43.0, 23.0
854.7050, 18.25, 43.0, 19.0
856.6250, 18.25, 43.0, 13.0
858.5440, 18.24, 42.0, 13.0
860.4650, 18.24, 42.0, 11.0
862.3700, 18.24, 42.0, 11.0
864.3020, 18.23, 42.0, 11.0
866.2380, 18.24, 42.0, 12.0
868.1750, 18.23, 42.0, 12.0
870.0990, 18.23, 42.0, 14.0
872.0380, 18.23, 42.0, 16.0
873.9880, 18.22, 42.0, 16.0
875.9140, 18.21, 42.0, 16.0
877.8510, 18.21, 42.0, 16.0
879.7860, 18.2, 41.0, 16.0
881.7560, 18.21, 41.0, 17.0
884.9230, 18.21, 41.0, 20.0
885.8850, 18.2, 41.0, 21.0
887.8210, 18.19, 41.0, 21.0
889.7570, 18.19, 41.0, 21.0
891.6780, 18.18, 41.0, 25.0
893.6110, 18.19, 41.0, 25.0
895.5500, 18.19, 41.0, 26.0
897.4830, 18.19, 41.0, 27.0
899.4050, 18.19, 41.0, 27.0
901.2980, 18.19, 41.0, 28.0
903.2470, 18.19, 41.0, 29.0
905.1660, 18.18, 41.0, 29.0
907.0730, 18.18, 41.0, 29.0
909.0060, 18.17, 41.0, 29.0
910.9430, 18.18, 41.0, 29.0
912.8640, 18.18, 41.0, 30.0
916.0600, 18.17, 41.0, 30.0
917.0340, 18.16, 41.0, 30.0
918.9520, 18.16, 41.0, 30.0
920.8450, 18.16, 41.0, 32.0
922.7650, 18.16, 41.0, 32.0
924.6410, 18.17, 41.0, 33.0
926.5590, 18.17, 41.0, 33.0
928.4470, 18.17, 41.0, 34.0
930.3700, 18.17, 41.0, 36.0
932.2300, 18.17, 41.0, 36.0
934.1210, 18.16, 41.0, 37.0
